"Marca temporal (Preproces)","Alimento"
"11/8/2021 9:44","Frutas"
"11/8/2021 14:36","Verduras"
"11/8/2021 19:49","Hidratos de carbono"
"11/8/2021 21:23","Carne"
"11/9/2021 0:31","Dulces"
"11/9/2021 7:16","Nada"
"11/9/2021 11:41","Frutas"
"11/9/2021 13:51","Verduras"
"11/9/2021 17:06","Lácteos"
"11/9/2021 20:49","Frutas"
"11/10/2021 0:41","Lácteos"
"11/10/2021 7:24","Hidratos de carbono"
"11/10/2021 10:07","Nada"
"11/10/2021 12:51","Verduras"
"11/10/2021 22:06","Hidratos de carbono"
"11/11/2021 7:57","Nada"
"11/11/2021 11:07","Lácteos"
"11/11/2021 13:50","Verduras"
"11/11/2021 18:12","Frutas"
"11/11/2021 22:11","Lácteos"
"11/12/2021 7:21","Hidratos de carbono"
"11/12/2021 10:12","Lácteos"
"11/12/2021 14:10","Verduras"
"11/12/2021 17:09","Hidratos de carbono"
"11/12/2021 19:39","Hidratos de carbono"
"11/12/2021 22:33","Carne"
"11/13/2021 10:33","Lácteos"
"11/13/2021 15:21","Verduras"
"11/13/2021 19:42","Dulces"
"11/14/2021 13:57","Frutas"
"11/14/2021 21:56","Hidratos de carbono"
"11/15/2021 8:14","Nada"
"11/15/2021 10:01","Frutas"
"11/15/2021 11:31","Nada"
"11/15/2021 13:43","Verduras"
"11/15/2021 18:07","Nada"
"11/15/2021 22:35","Hidratos de carbono"
"11/16/2021 8:12","Nada"
"11/16/2021 12:14","Frutas"
"11/16/2021 19:52","Lácteos"
"11/17/2021 8:31","Hidratos de carbono"
"11/17/2021 16:25","Verduras"
"11/17/2021 22:13","Carne"
"11/18/2021 10:14","Avena"
"11/18/2021 13:56","Verduras"
"11/18/2021 19:00","Avena"
"11/18/2021 22:29","Carne"
"11/19/2021 7:58","Avena"
"11/19/2021 12:00","Avena"
"11/19/2021 0:15","Hidratos de carbono"
"11/20/2021 10:13","Hidratos de carbono"
"11/20/2021 18:14","Hidratos de carbono"
"11/20/2021 22:58","Carne"
"11/21/2021 8:17","Hidratos de carbono"
"11/21/2021 11:03","Nada"
"11/21/2021 15:37","Carne"
"11/21/2021 22:23","Carne"
"11/22/2021 15:23","Verduras"
"11/22/2021 20:28","Hidratos de carbono"
"11/22/2021 21:45","Carne"
"11/8/2021 9:44","Lácteos"
"11/8/2021 14:36","Hidratos de carbono"
"11/8/2021 21:23","Hidratos de carbono"
"11/9/2021 13:51","Carne"
"11/9/2021 17:06","Hidratos de carbono"
"11/10/2021 0:41","Hidratos de carbono"
"11/10/2021 12:51","Pollo"
"11/11/2021 11:07","Hidratos de carbono"
"11/11/2021 13:50","Carne"
"11/11/2021 22:11","Carne"
"11/12/2021 10:12","Hidratos de carbono"
"11/12/2021 14:10","Carne"
"11/12/2021 17:09","Dulces"
"11/12/2021 22:33","Hidratos de carbono"
"11/13/2021 10:33","Hidratos de carbono"
"11/13/2021 15:21","Carne"
"11/14/2021 13:57","Verduras"
"11/14/2021 21:56","Pollo"
"11/15/2021 13:43","Carne"
"11/16/2021 19:52","Hidratos de carbono"
"11/17/2021 8:31","Dulces"
"11/17/2021 16:25","Carne"
"11/17/2021 22:13","Hidratos de carbono"
"11/18/2021 13:56","Carne"
"11/18/2021 22:29","Hidratos de carbono"
"11/19/2021 0:15","Pollo"
"11/20/2021 10:13","Dulces"
"11/20/2021 18:14","Dulces"
"11/20/2021 22:58","Hidratos de carbono"
"11/21/2021 8:17","Semillas"
"11/21/2021 22:23","Hidratos de carbono"
"11/22/2021 15:23","Carne"
"11/22/2021 20:28","Dulces"
"11/22/2021 21:45","Hidratos de carbono"
"11/8/2021 14:36","Pollo"
"11/11/2021 22:11","Hidratos de carbono"
"11/14/2021 13:57","Carne"
"11/17/2021 16:25","Hidratos de carbono"
"11/17/2021 22:13","Dulces"
"11/20/2021 10:13","Semillas"
